variable,lower,upper,units,Distribution,Mean_D,Std_D,Dependecies,include,default
Cab,5,90,ug cm-2,Gaussian,50,20,No,1,40
Car,0,25,ug cm-2,Uniform,-,-,Yes,1,10
Anth,0,4.5,-,Uniform,-,-,No,1,0
LMA,0.001,0.035,g cm-2,Uniform,-,-,No,0,0
EWT,0.001,0.035,cm,Uniform,-,-,No,1,0.009
Cbrown,0,1,-,Uniform,-,-,No,1,0
Prot,0.00001,0.03,g cm-2,Uniform,-,-,No,1,0
CBC,0.00001,0.03,g cm-2,Uniform,-,-,No,1,0
N,1.5,2.5,-,Uniform,-,-,No,1,1.5
alpha,0,90,-,Uniform,-,-,No,0,40
LIDFa,10,70,degree,Uniform,-,-,No,1,45
LIDFb,0,0,degree,Uniform,-,-,No,0,0
TypeLidf,1,2,-,Uniform,-,-,No,0,2
LAI,0.5,7,m2 m-2,Uniform,-,-,No,1,3
hspot,0,1,-,Uniform,-,-,No,1,0
LAIu,0,0.8,m2 m-2,Uniform,-,-,No,1,0.1
sd,200,1000,-,Uniform,-,-,No,1,640
h,5,25,m,Uniform,-,-,No,1,20
cd,0.2,7,m ,Uniform,-,-,No,0,4.5
tts,0,0,deg,Uniform,-,-,No,0,0
tto,15,30,deg,Uniform,-,-,No,1,0
psi,0,180,deg,Uniform,-,-,No,0,0
psoil,0,1,-,Uniform,-,-,No,0,0
skyl,0,1,-,Uniform,-,-,No,0,0.1
