variable,lower,upper,units,Distribution,Mean_D,Std_D,Dependecies,include,default
Cab,0,60,ug cm-2,Gaussian,50,20,No,1,40
EWT,0.0001,0.05,cm,Uniform,-,-,No,1,0.009
cell.d,20,100,m-6,Uniform,-,-,No,1,40
inter.c,0.01,0.1,-,Uniform,-,-,No,1,0.045
baseline.abs,0.0004,0.0006,-,Uniform,-,-,No,1,0.0004
leaf.thick,1,10,-,Uniform,-,-,No,1,1.6
albino.abs,0,4,-,Uniform,-,-,No,1,2
lign.cell,1,8,ug cm-2,Uniform,-,-,No,1,4
Nitrogen,0.3,2,g m-2,Uniform,-,-,No,1,4
LMA,0.001,0.035,g cm-2,Uniform,-,-,No,0,0
alpha,0,90,-,Uniform,-,-,No,0,40
LIDFa,30,70,degree,Uniform,-,-,No,1,45
LIDFb,0,0,degree,Uniform,-,-,No,0,0
TypeLidf,1,2,-,Uniform,-,-,No,0,2
LAI,2,5,m2 m-2,Uniform,-,-,No,1,3
hspot,0,1,-,Uniform,-,-,No,0,0
tts,0,0,deg,Uniform,-,-,No,0,0
tto,15,30,deg,Uniform,-,-,No,1,0
psi,0,180,deg,Uniform,-,-,No,0,0
LAIu,0,0.8,m2 m-2,Uniform,-,-,No,1,0.1
sd,200,1000,-,Uniform,-,-,No,1,640
h,5,25,m,Uniform,-,-,No,0,20
cd,0.2,7,m ,Uniform,-,-,No,0,4.5
psoil,0,1,-,Uniform,-,-,No,0,0
skyl,0,1,-,Uniform,-,-,No,0,0.1
