variable,lower,upper,units,Distribution,Mean_D,Std_D,Dependecies,include,default
Cab,5,90,ug cm-2,Gaussian,50,20,No,1,40
Cca,0,25,ug cm-2,Uniform,-,-,Yes,1,10
Cant,0,7,-,Uniform,-,-,No,1,0
Cdm,0,0.2,g cm-2,Uniform,0.015,0.001,No,1,0.012
Cw,0,0.2,cm,Uniform,0.015,0.001,No,1,0.009
Cs,0,1.2,-,Uniform,-,-,No,0,0
Cp,0,0,g cm-2,Uniform,-,-,No,0,0
Cbc,0,0,g cm-2,Uniform,-,-,No,0,0
N,1.5,2.5,-,Uniform,-,-,No,1,1.5
Vcmax25,0.75,250,umol m-2 s-1,Uniform,-,-,No,1,70
BallBerrySlope,1,20,,Uniform,-,-,No,1,12
LIDFa,-1,1,-,Uniform,-,-,No,1,-0.35
LIDFb,-1,1,-,Uniform,-,-,No,1,-0.15
LAI,0.5,6,m2 m-2,Uniform,-,-,No,1,3
Rin,0,950,W m-2,Uniform,-,-,No,1,600
Rli,200,500,W m-2,Uniform,-,-,No,1,300
Ta,-5,40,C,Uniform,-,-,No,1,20
p,900,1100,hPa,Uniform,-,-,No,1,970
ea,0,60,hPa,Uniform,-,-,No,1,15
RH,0,1,hPa,Uniform,-,-,No,1,0.64
u,0.5,10,m s-1,Uniform,-,-,No,1,2
tts,0,15,deg,Uniform,-,-,No,1,30
tto,15,30,deg,Uniform,-,-,No,1,0
psi,0,180,deg,Uniform,-,-,No,0,0
